Timestamp,"Do you prefer to study in the morning, afternoon, or evening?","How often do you exercise or engage in physical activity each week? (hours in number)
Its ok to say 0 like me",Do you play video games?,Do you watch movies or TV shows regularly?,"If you watch movies or TV shows, what genre(s) do you prefer?",How many hours of sleep do you usually get each night? (hours in number),How often do you use social media each day? (hours in number),extracurricular_hours,How often do you attend classes?,Do you usually study alone or with others?,How often do you seek help from professors or teaching assistants?,"Do you use any study aids, such as flashcards or study guides?",How often do you attend office hours or tutoring sessions?,Do you have a part-time job or internship?,How do you usually commute to campus?,How often do you meet with academic advisors?,"On average, how many hours do you study each day? (hours in number)",naps,What is your current CGPA?
3/17/2023 12:49:15,Morning,0.5,No,Yes,Action,4,0,0,Always,Alone,Sometimes,No,Never,No,Walk,Often,3,Yes,2.3
3/17/2023 12:55:12,Evening,0,No,Yes,"Action, Comedy, Drama, Science Fiction",8,7,10,Always,Alone,Sometimes,No,Never,No,Public Transport,Sometimes,4,No,3.11
3/17/2023 12:55:33,Morning,11,Yes,No,Action,7,2,11,Mostly,Alone,Never,No,Never,No,Public Transport,Sometimes,2,No,3
3/17/2023 13:10:04,Morning,7,Yes,Yes,"Action, Comedy, Drama, Science Fiction",5.5,15,30,Always,Alone,Sometimes,No,Often,Yes,Public Transport,Often,1,Yes,3.6
3/17/2023 13:15:45,Morning,2,Yes,Yes,"Action, Comedy, Horror, Science Fiction",8,1.5,30,Always,Alone,Sometimes,No,Never,No,Bike,Often,2,No,3.5
3/17/2023 13:16:07,Morning,0,Yes,Yes,Comedy,7,1.5,6.5,Always,Alone,Sometimes,No,Never,No,Public Transport,Sometimes,4.5,Yes,2.93
3/17/2023 13:16:39,Morning,0,Yes,Yes,Action,7,3.5,0.5,Always,With Friends,Sometimes,No,Never,No,Public Transport,Sometimes,2,Yes,2.3
3/17/2023 13:16:56,Morning,0,No,No,Drama,6,5,1,Always,Alone,Sometimes,Yes,Never,No,Public Transport,Never,2,Yes,2.3
3/17/2023 13:17:35,Morning,4.5,Yes,Yes,Comedy,6,3,4,Always,With Friends,Often,No,Never,No,Public Transport,Sometimes,2,No,2.3
3/17/2023 13:21:00,Morning,0,No,No,Comedy,7,3,3.5,Always,Alone,Sometimes,No,Never,No,Public Transport,Sometimes,3,Yes,2.3
3/17/2023 13:28:14,Evening,0,Yes,No,"Comedy, Horror",4,5,5,Always,Alone,Sometimes,No,Sometimes,Yes,Bike,Sometimes,1,Yes,3.75
3/17/2023 14:00:40,Afternoon,0,No,Yes,Horror,3.5,20,2,Always,Alone,Never,No,Never,No,Public Transport,Never,3.5,Yes,2.3
3/17/2023 14:06:26,Evening,1.5,No,Yes,"Drama, Horror, Science Fiction",6.5,5.5,1.5,Mostly,Alone,Sometimes,No,Sometimes,Yes,Shuttle,Never,1.5,Yes,4
3/17/2023 14:10:57,Morning,0,Yes,No,"Action, Drama",7,6,2,Always,Alone,Sometimes,No,Sometimes,No,Bike,Often,4,No,3.13
3/17/2023 14:22:50,Morning,5,No,No,Drama,7.5,3,2,Always,Alone,Sometimes,Yes,Sometimes,No,Public Transport,Sometimes,2.5,Yes,3.37
3/17/2023 14:22:58,Evening,0,Yes,Yes,"Action, Comedy, Horror",9,2.5,7.5,Always,Alone,Sometimes,No,Never,No,Shuttle,Sometimes,2,Yes,3.15
3/17/2023 14:23:51,Evening,0,No,No,"Comedy, Horror",6,4,4,Mostly,Alone,Sometimes,No,Sometimes,No,Public Transport,Sometimes,0.5,Yes,3.3
3/17/2023 14:24:02,Morning,0,No,No,Drama,6,5.5,1,Mostly,Alone,Often,Yes,Sometimes,No,Walk,Sometimes,2,Yes,2.92
3/17/2023 14:24:50,Morning,4,Yes,No,"Action, Comedy, Horror, Science Fiction",7.5,2.5,2.5,Mostly,Alone,Never,No,Sometimes,No,Public Transport,Never,2.5,Yes,3.2
3/17/2023 14:35:19,Evening,2,Yes,No,Action,7.5,5.5,0,Mostly,Alone,Sometimes,Yes,Never,No,Public Transport,Sometimes,3,No,2.3
3/17/2023 14:41:42,Evening,0,No,No,Science Fiction,5.5,4,1,Always,Alone,Never,No,Never,No,Public Transport,Never,3,No,2.3
3/17/2023 14:45:16,Morning,0,No,Yes,"Action, Comedy, Drama",6.5,3.5,30,Always,Alone,Never,No,Sometimes,No,Drive,Sometimes,2,No,2.3
3/17/2023 15:03:30,Morning,0,No,No,Drama,6,4,1,Always,Alone,Never,Yes,Never,No,Public Transport,Never,2,Yes,2.3
3/17/2023 15:06:35,Morning,14,No,No,Action,3,6,0,Always,Alone,Sometimes,Yes,Sometimes,Yes,Public Transport,Sometimes,2,Yes,3.5
3/17/2023 15:10:40,Morning,0,No,No,Drama,4.5,2.5,0,Always,Alone,Sometimes,No,Never,No,Public Transport,Never,1.5,Yes,2.3
3/17/2023 15:31:33,Evening,0,Yes,Yes,Horror,7,3,1,Mostly,Alone,Sometimes,No,Never,No,Public Transport,Never,1,No,2.3
3/17/2023 15:50:56,Evening,2,Yes,No,"Action, Comedy, Drama, Science Fiction",7,8,0,Always,Alone,Often,No,Sometimes,No,Public Transport,Sometimes,4,No,2.3
3/17/2023 16:26:38,Evening,2,Yes,Yes,"Action, Horror, Science Fiction",6.5,4,6.5,Always,Alone,Sometimes,No,Sometimes,No,Walk,Sometimes,1,Yes,2.38
3/17/2023 18:21:46,Evening,7,No,No,Drama,6,2.5,3.5,Always,Alone,Sometimes,No,Always,Yes,Public Transport,Sometimes,3,Yes,2.3
3/17/2023 18:32:02,Evening,0,No,Yes,"Action, Drama, Science Fiction",5.5,3,0,Always,With Friends,Sometimes,No,Often,No,Walk,Sometimes,2,No,2.84
3/17/2023 18:45:15,Morning,14,Yes,No,Comedy,6,5,18,Always,Alone,Sometimes,Yes,Sometimes,No,Shuttle,Sometimes,1.5,Yes,2.6
3/17/2023 21:27:53,Evening,2,No,No,Comedy,7.5,2,2,Sometimes,With Friends,Sometimes,No,Never,No,Shuttle,Never,1.5,Yes,2.3
3/19/2023 11:27:03,Morning,0,No,Yes,"Action, Comedy, Horror",8,2,0,Always,Alone,Always,Yes,Often,No,Public Transport,Often,4,Yes,3.95
4/1/2023 17:55:47,Evening,1,Yes,Yes,"Comedy, Drama",4,3,0,Mostly,With Friends,Never,No,Never,No,Public Transport,Sometimes,6,No,2.3
4/1/2023 18:00:21,Morning,35,No,No,Action,9,0.5,30,Never,Alone,Never,No,Never,Yes,Drive,Never,2,No,3.9
4/1/2023 19:46:07,Evening,20,Yes,Yes,"Action, Comedy, Drama, Horror, Science Fiction",9,6,5,Sometimes,Alone,Never,No,Never,No,Bike,Never,1,No,2.8
4/1/2023 19:47:05,Morning,1,No,No,"Comedy, Drama, Horror, Science Fiction",5,5,0,Always,Alone,Never,No,Never,No,Public Transport,Never,0,No,2.3
4/1/2023 19:51:06,Afternoon,4,No,Yes,Action,6.5,4,4,Always,Alone,Sometimes,No,Sometimes,Yes,Walk,Sometimes,3,Yes,3.76
4/1/2023 20:20:15,Evening,0,Yes,Yes,"Action, Comedy, Drama",7,5,4,Rarely,Alone,Never,No,Never,No,Walk,Never,2,Yes,3.4
4/1/2023 20:38:34,Afternoon,6,Yes,Yes,"Action, Comedy, Drama, Science Fiction",8,2,2,Always,Alone,Never,Yes,Never,Yes,Drive,Sometimes,1,Yes,2.7
4/1/2023 20:51:30,Afternoon,5,Yes,No,Science Fiction,8,2,30,Always,Alone,Never,Yes,Never,Yes,Drive,Never,4,No,3.99
4/1/2023 22:29:40,Afternoon,2,Yes,Yes,"Action, Comedy",8,2,5,Mostly,Alone,Never,No,Never,No,Public Transport,Never,4,Yes,3.9
4/4/2023 21:44:21,Evening,0,No,Yes,"Action, Comedy, Science Fiction",10,2,0,Never,Alone,Never,No,Never,Yes,Shuttle,Never,4,Yes,3.05
4/8/2023 17:11:19,Morning,10,Yes,No,"Action, Comedy, Horror",8,2,3,Always,Alone,Sometimes,Yes,Never,No,Bike,Sometimes,1,No,3.52
4/8/2023 17:15:58,Afternoon,2,Yes,Yes,"Action, Comedy, Drama, Science Fiction",7,0,0,Mostly,Alone,Never,No,Never,No,Shuttle,Sometimes,1,Yes,3.67
4/8/2023 17:16:38,Afternoon,1,Yes,Yes,"Action, Drama, Science Fiction",6,2,3,Mostly,Alone,Never,No,Never,No,Shuttle,Sometimes,3,Yes,3.81
4/8/2023 18:21:51,Morning,1,Yes,Yes,"Action, Comedy, Drama, Science Fiction",5.5,4,12,Always,Alone,Sometimes,No,Often,Yes,Public Transport,Never,3,Yes,3.95
4/15/2023 2:14:23,Evening,0,Yes,Yes,"Action, Comedy, Drama, Science Fiction",5.5,2,2,Mostly,Alone,Sometimes,No,Never,No,Bike,Never,4,No,3.22
4/15/2023 2:20:04,Evening,1,Yes,Yes,Action,6,2,3,Mostly,Alone,Sometimes,No,Never,Yes,Public Transport,Sometimes,3,Yes,3
4/15/2023 2:27:43,Evening,6.5,No,No,Horror,5,8,3,Always,Alone,Sometimes,No,Sometimes,No,Public Transport,Sometimes,5,Yes,3.94
4/15/2023 2:33:15,Morning,10.5,Yes,Yes,Action,5.5,5.5,0,Always,Alone,Sometimes,Yes,Never,Yes,Bike,Never,3,Yes,3.02
4/15/2023 2:35:15,Evening,0,Yes,Yes,"Comedy, Drama, Horror, Science Fiction",7,3,0,Always,Alone,Sometimes,No,Sometimes,No,Public Transport,Sometimes,2.5,Yes,3.87
4/15/2023 9:52:53,Evening,0,Yes,Yes,"Comedy, Drama, Horror, Science Fiction",5.5,3.5,0,Always,Alone,Often,No,Often,No,Public Transport,Sometimes,4,Yes,3.94
4/15/2023 10:24:37,Evening,0,Yes,No,"Comedy, Drama, Horror, Science Fiction",6,3,0,Mostly,Alone,Never,Yes,Never,Yes,Bike,Never,4,Yes,3.9
4/15/2023 14:55:17,Evening,0,Yes,No,"Action, Comedy, Science Fiction",7,1,0,Always,With Friends,Never,Yes,Never,No,Public Transport,Never,2,Yes,3.47
4/17/2023 1:49:03,Morning,12,Yes,Yes,"Action, Comedy, Drama, Horror, Science Fiction",6,3,6,Mostly,Alone,Never,No,Never,No,Public Transport,Sometimes,3,No,3.51
4/20/2023 6:04:20,Morning,7,Yes,Yes,"Comedy, Science Fiction",7,4.5,4.5,Always,Alone,Never,Yes,Sometimes,No,Drive,Sometimes,6.5,Yes,3.4
4/20/2023 13:56:21,Evening,0,Yes,Yes,"Drama, Horror, Science Fiction",4,3,0,Mostly,Alone,Often,No,Never,No,Bike,Never,4,No,3.4
